WEEK,COUNT,DEATHDT,MONTH,YRSEAS,JAN1,FLUA,FLUB,RSVPOS,PCTA,PCTB,WEEKOFYRS
211,3859,1996-09-15,9,1997,0,0,0,9,0,0,3
212,3877,1996-09-22,9,1997,0,0,0,14,0,0,4
213,4078,1996-09-29,9,1997,0,0,0,8,0,0,5
214,3979,1996-10-06,10,1997,0,1,0,10,0.0047,0,6
215,4104,1996-10-13,10,1997,0,0,0,7,0,0,7
216,4063,1996-10-20,10,1997,0,0,0,10,0,0,8
217,4107,1996-10-27,10,1997,0,0,1,15,0,0.0036,9
218,4181,1996-11-03,11,1997,0,1,0,27,0.0036,0,10
219,4029,1996-11-10,11,1997,0,1,0,36,0.0036,0,11
220,4156,1996-11-17,11,1997,0,16,0,35,0.0497,0,12
221,4213,1996-11-24,11,1997,0,24,1,33,0.0407,0.0017,13
222,4156,1996-12-01,12,1997,0,52,1,52,0.0892,0.0017,14
223,4314,1996-12-08,12,1997,0,115,3,78,0.1478,0.0039,15
224,4458,1996-12-15,12,1997,0,169,0,114,0.2071,0,16
225,4751,1996-12-22,12,1997,0,114,2,96,0.2069,0.0036,17
226,5155,1996-12-29,12,1997,0,133,1,148,0.1696,0.0013,18
227,5016,1997-01-05,1,1997,1,202,8,180,0.1638,0.0065,19
228,4946,1997-01-12,1,1997,0,169,5,140,0.1616,0.0048,20
229,4789,1997-01-19,1,1997,0,98,4,196,0.1175,0.0048,21
230,4571,1997-01-26,1,1997,0,91,45,263,0.0859,0.0425,22
231,4417,1997-02-02,2,1997,0,64,29,342,0.0696,0.0315,23
232,4422,1997-02-09,2,1997,0,38,55,350,0.0304,0.0441,24
233,4518,1997-02-16,2,1997,0,18,93,417,0.0123,0.0637,25
234,4421,1997-02-23,2,1997,0,76,112,389,0.0585,0.0862,26
235,4412,1997-03-02,3,1997,0,13,122,404,0.0104,0.0972,27
236,4518,1997-03-09,3,1997,0,12,81,285,0.0114,0.0772,28
237,4404,1997-03-16,3,1997,0,0,68,272,0,0.076,29
238,4385,1997-03-23,3,1997,0,17,93,219,0.0186,0.1015,30
239,4301,1997-03-30,3,1997,0,7,45,156,0.0089,0.057,31
240,4236,1997-04-06,4,1997,0,6,54,156,0.0073,0.0661,32
241,4226,1997-04-13,4,1997,0,1,36,98,0.0017,0.0594,33
242,4047,1997-04-20,4,1997,0,1,23,70,0.0018,0.0409,34
243,4077,1997-04-27,4,1997,0,2,7,69,0.0036,0.0124,35
244,4088,1997-05-04,5,1997,0,0,7,43,0,0.0164,36
245,4033,1997-05-11,5,1997,0,0,6,36,0,0.0148,37
246,4053,1997-05-18,5,1997,0,0,0,21,0,0,38
247,3942,1997-05-25,5,1997,0,0,2,18,0,0.0061,39
248,3807,1997-06-01,6,1997,0,0,0,23,0,0,40
249,4051,1997-06-08,6,1997,0,0,0,21,0,0,41
250,3766,1997-06-15,6,1997,0,0,0,10,0,0,42
251,3900,1997-06-22,6,1997,0,0,0,6,0,0,43
252,3902,1997-06-29,6,1997,0,0,0,6,0,0,44
253,3768,1997-07-06,7,1997,0,0,0,3,0,0,45
254,3870,1997-07-13,7,1997,0,0,0,2,0,0,46
255,3709,1997-07-20,7,1997,0,0,0,3,0,0,47
256,3845,1997-07-27,7,1997,0,0,0,4,0,0,48
257,3719,1997-08-03,8,1997,0,2,0,3,0.0149,0,49
258,3699,1997-08-10,8,1997,0,0,0,2,0,0,50
259,3698,1997-08-17,8,1997,0,0,0,2,0,0,51
260,3793,1997-08-24,8,1997,0,1,0,5,0.0052,0,52
261,3716,1997-08-31,8,1997,0,0,0,9,0,0,53
262,3648,1997-09-07,9,1998,0,0,0,14,0,0,1
263,3784,1997-09-14,9,1998,0,3,0,10,0.0133,0,2
264,3942,1997-09-21,9,1998,0,1,0,11,0.0047,0,3
265,4042,1997-09-28,9,1998,0,0,0,12,0,0,4
266,4045,1997-10-05,10,1998,0,0,0,15,0,0,5
267,4000,1997-10-12,10,1998,0,7,0,20,0.0197,0,6
268,3975,1997-10-19,10,1998,0,18,0,20,0.0471,0,7
269,4137,1997-10-26,10,1998,0,4,0,20,0.01,0,8
270,4017,1997-11-02,11,1998,0,0,0,23,0,0,9
271,4078,1997-11-09,11,1998,0,1,0,21,0.0023,0,10
272,4106,1997-11-16,11,1998,0,0,0,38,0,0,11
273,4092,1997-11-23,11,1998,0,1,1,52,0.0015,0.0015,12
274,4199,1997-11-30,11,1998,0,0,0,74,0,0,13
275,4295,1997-12-07,12,1998,0,1,1,132,0.0014,0.0014,14
276,4187,1997-12-14,12,1998,0,4,2,188,0.0043,0.0022,15
277,4167,1997-12-21,12,1998,0,14,0,146,0.0173,0,16
278,4558,1997-12-28,12,1998,0,47,0,186,0.0517,0,17
279,4616,1998-01-04,1,1998,1,54,0,249,0.0447,0,18
280,4673,1998-01-11,1,1998,0,77,0,212,0.0573,0,19
281,4676,1998-01-18,1,1998,0,164,2,207,0.1064,0.0013,20
282,4598,1998-01-25,1,1998,0,330,1,224,0.1767,0.0005,21
283,4787,1998-02-01,2,1998,0,448,1,225,0.2086,0.0005,22
284,4923,1998-02-08,2,1998,0,584,0,245,0.2275,0,23
285,5158,1998-02-15,2,1998,0,776,3,272,0.261,0.001,24
286,5067,1998-02-22,2,1998,0,657,1,212,0.2242,0.0003,25
287,5041,1998-03-01,3,1998,0,622,0,222,0.2225,0,26
288,4943,1998-03-08,3,1998,0,500,0,212,0.2383,0,27
289,4687,1998-03-15,3,1998,0,313,2,205,0.1614,0.001,28
290,4591,1998-03-22,3,1998,0,224,1,191,0.1282,0.0006,29
291,4238,1998-03-29,3,1998,0,163,1,170,0.121,0.0007,30
292,4127,1998-04-05,4,1998,0,64,0,147,0.0706,0,31
293,4051,1998-04-12,4,1998,0,24,1,116,0.0301,0.0013,32
294,4141,1998-04-19,4,1998,0,22,0,113,0.0278,0,33
295,4182,1998-04-26,4,1998,0,18,0,89,0.0241,0,34
296,4030,1998-05-03,5,1998,0,4,0,89,0.0071,0,35
297,4002,1998-05-10,5,1998,0,5,0,57,0.0109,0,36
298,3944,1998-05-17,5,1998,0,3,0,53,0.0072,0,37
299,3917,1998-05-24,5,1998,0,4,0,28,0.011,0,38
300,3735,1998-05-31,5,1998,0,0,0,35,0,0,39
301,3942,1998-06-07,6,1998,0,0,0,25,0,0,40
302,3790,1998-06-14,6,1998,0,0,0,31,0,0,41
303,3960,1998-06-21,6,1998,0,0,0,46,0,0,42
